date,title
2019/01/21 0:00:00,Aussie hope Ashleigh Barty brings more legends onto her Australian Open bandwagon
2019/01/21 0:00:00,St Lucia looks like a dream escape — but the island paradise has a violent secret
2019/01/21 0:00:00,Central Highlands residents evacuated as fire rages
2019/01/21 0:00:00,Alleged criminals in the million dollar baby formula syndicate are also stealing honey: here’s why
2019/01/21 0:00:00,SA scientists find 26 new species of native bees
2019/01/21 0:00:00,Remnants of Wonderland waste away in theme park graveyard
2019/01/21 0:00:00,Petrol stations using sneaky tactic to get customers to pay more
2019/01/21 0:00:00,"It’s time for Plan B, as UK’s Theresa May battles to save Brexit"
2019/01/21 0:00:00,Shocking footage shows alleged police brutality from Victoria Police officers
2019/01/21 0:00:00,Carlotta brings her show Queen of the Cross to Adelaide Fringe
2019/01/21 0:00:00,Raceday Focus: Low Level Flying looking for breakthrough win at Warrnambool meeting
2019/01/21 0:00:00,"‘You can yell at me all you like’: Helliar, Price in ugly clash over pill testing"
2019/01/21 0:00:00,"Raceday focus: Best bets, inside mail for Wagga Wagga"
2019/01/21 0:00:00,Former AFL star Kane Cornes takes to Twitter to clear up AFLW ‘leg up’ comments
2019/01/21 0:00:00,Aussie legend Mark Philippoussis weighs in on tennis feud
2019/01/21 0:00:00,Alex Zverev melts down in huge loss to Milos Raonic
2019/01/21 0:00:00,Social media post says Robert Fardon spotted at North Lakes Shopping Centre
2019/01/21 0:00:00,Hong Kong based jockey Sam Clipperton to return to Sydney
2019/01/21 0:00:00,Echuca market off to a mighty start in 2019
2019/01/21 0:00:00,BBL 08 | Hobart Hurricanes defeated Adelaide Strikers by 10 wickets
2019/01/21 0:00:00,Police officer jailed for grooming teen for sex in Victoria
2019/01/21 0:00:00,Donald Trump’s team has sparked fury with ‘Send A Brick’ campaign directed at Nancy Pelosi and Chuck Schumer
2019/01/21 0:00:00,"A TV role, endorsement deal and late night talk show interviews: Fiji Water Girl cashes in on fame"
2019/01/21 0:00:00,"Back-to-school costs bite hard, so plan head to save money"
2019/01/21 0:00:00,Snake catcher hits back after being accused of cat hate in grisly post
2019/01/21 0:00:00,"Mum who breastfeeds son, 7, defends herself against cruel trolls"
2019/01/21 0:00:00,"Metro: Exodus survives WWIII, explores the fallout"
2019/01/21 0:00:00,30-year-old man expected to be charged after allegedly assaulting teenage boy
2019/01/21 0:00:00,Sunset views to behold in Moana
2019/01/21 0:00:00,Russell Brand slammed over ‘sexist’ parenting views
2019/01/21 0:00:00,Perth’s 20 best music concerts and shows of 2019
2019/01/21 0:00:00,‘My mortality is staring me in the face’: Christian Bale reveals shock toll of drastic weight changes
