date,title
2020/02/22 0:00:00,Mick Fanning goes swimming with Sharks on The Sunday Project
2020/02/22 0:00:00,Australian Code Breakers: The untold story of Frederick Wheatley
2020/02/22 0:00:00,Josh Addo-Carr recreates iconic Nicky Winmar image at NRL All Stars match
2020/02/22 0:00:00,Understand what your dog is trying to tell you
2020/02/22 0:00:00,Author Kate Leaver shares how and why ‘good boys’ are good for humankind
2020/02/22 0:00:00,Bullying victim Quaden Bayles leads NRL Indigenous All Stars onto Cbus Super Stadium
2020/02/22 0:00:00,‘I feel I’m making a deal with an imaginary cop’: crime queen author Dervla McTiernan
2020/02/22 0:00:00,‘The rules are abolished’: Tommy Hilfiger unveils new collection with Lewis Hamilton at London Fashion Week
2020/02/22 0:00:00,Pippie wins Oakleigh Plate; Linda Meech first woman to win the Group 1 sprint
2020/02/22 0:00:00,Mine tailings have entered the Park River from the Kara Mine
2020/02/22 0:00:00,Maori All Stars defeat Indigenous All Stars 30-16 at Cbus Super Stadium
2020/02/22 0:00:00,Rundown Balwyn house earns more than $2M at auction
2020/02/22 0:00:00,Adelaide Festival fire installation to go ahead in city’s Botanic Garden
2020/02/22 0:00:00,Super Rugby: Brumbies break long New Zealand drought with upset 12-point win over Chiefs
2020/02/22 0:00:00,Win a chance to meet the stars of Gogglebox Australia
2020/02/22 0:00:00,Roger Federer knee injury sparks retirement fears for the 38-year-old champion
2020/02/22 0:00:00,Brendan Fevola opens up about bizarre Uber Eats addiction
2020/02/22 0:00:00,"Amanda Bynes’ bizarre life after quitting acting, and the moment she fell off the rails"
2020/02/22 0:00:00,Brandenburg springs a surprise in the Hobartville Stakes
2020/02/22 0:00:00,Streets Of Avalon wins Futurity Stakes and secures spot in All-Star Mile
2020/02/22 0:00:00,Super Saturday: sales success on Melbourne’s first major auction weekend of 2020
2020/02/22 0:00:00,Tayla Harris responds after ‘useless’ sledge as Carlton defeats the Western Bulldogs
2020/02/22 0:00:00,Sydney auctions: Sellers pocket millions on biggest sales day so far in 2020
2020/02/22 0:00:00,Rowan Baxter was in counselling weeks before murdering his family
